zipCode,projectName,address,xCoord,yCoord,neighborhood,management,contactPhone,totalUnits,singleRoom,studio,oneBedroom,twoBedroom,threeBedroom,fourBedroom
97239,Gray's Landing,0650 SW Lowell St,,,,REACH Community Development Inc.,971-277-7195,42,,,22,20,,,,,,,,,,,,
97227,Madrona Studios,10 N Weidler St,,,,Central City Concern,503-525-8483,176,,176,,,,,,,,,,,,,,
97209,Helen Swindells Apts,10 NW Broadway,,,,Income Property Management,503-228-9474,105,105,,,,,,,,,,,,,,,
97220,Eastgate Station,100 NE 120th Ave,,,,Cascade Management Inc.,503-257-0000,61,,,16,8,29,8,,,,,,,,,,
97217,Bel Park,1001 N Blandena St,,,,Home Forward,503-280-3750,10,,2,8,,,,,,,,,,,,,
97203,North Oswego House,10036 N Oswego Ave,,,,NARA NW,503-224-1044,5,5,,,,,,,,,,,,,,,
97227,Dawson Park Apts,101 N Morris St,,,,Income Property Management,503-287-4742,67,,,59,8,,,,,,,,,,,,
97212,King Dishman Court,101 NE Knott,,,,Cascade Management Inc.,503-287-2162,14,,,4,6,4,,,,,,,,,,,
97205,Chaucer Court,1019 SW 10th Ave,,,,Manor Management,503-224-3559,83,,29,54,,,,,,,,,,,,,
97209,Station Place Tower,1020 NW 9th Ave,,,,REACH Community Development Inc.,503-546-4646,176,,36,125,15,,,,,,,,,,,,
97205,St Francis Apts,1024 SW Main St,,,,Cascade Management Inc.,503-223-2161,132,,106,16,10,,,,,,,,,,,,
97216,Floyd Light Apts,1031 SE 106th Ave,,,,REACH Community Development Inc.,503-688-5378,50,,,27,23,,,,,,,,,,,,
97266,Lents Village,10325 SE Holgate Blvd,,,,Cascade Management Inc.,503-762-0570,63,,,52,11,,,,,,,,,,,,
97209,Lovejoy Station,1040 NW 10th Ave,,,,Income Property Management,503-220-2500,181,,76,66,39,,,,,,,,,,,,
97216,Cascade Crossing,10535 E Burnside St,,,,Human Solutions,844-210-6442,74,,,16,32,26,,,,,,,,,,,
97220,Plaza de Cedro,10801 NE Fremont St,,,,Cascade Management Inc.,503-335-9603,6,,,,,4,2,,,,,,,,,,
97216,Park Vista,10918 SE Stark St,,,,Human Solutions,844-277-5320,59,,7,17,8,17,10,,,,,,,,,,
97201,Hill Park Apts.,110 SW Arthur,,,,Central City Concern,503-525-8483,39,,14,25,,,,,,,,,,,,,
97211,Moles Rentals,1103 NE Roselawn St,,,,Marvin & Doreen Mole,619-462-8676,7,,,,,7,,,,,,,,,,,
97230,Lone Pine Apts,111 NE 162nd Ave,,,,Cascadia Behavioral Healthcare,503-674-7777,17,,,,,,,,,,,,,,,,
97209,Sitka Apts,1115 NW Northrup St,,,,Pinnacle Realty Management,503-306-3400,209,,60,102,47,,,,,,,,,,,,
97209,Martha Washington,1115 SW 11th Ave,,,,Central City Concern,503-525-8483,108,,90,18,,,,,,,,,,,,,
97205,Fairfield Apts,1117 SW Stark St,,,,Income Property Management,503-224-8036,81,,81,,,,,,,,,,,,,,
97266,Powellhurst Woods,11200 SE Holgate Blvd,,,,Home Forward,503-280-3750,34,,,,23,11,,,,,,,,,,,
97219,Ashcreek Commons,11230 SW 62nd Ave,,,,Cascade Management Inc.,503-244-1707,21,,,,,17,4,,,,,,,,,,
97205,Lexington Apts,1125 SW 12th Ave,,,,Harsch Investment Corp.,503-227-3367,54,,53,1,,,,,,,,,,,,,
97205,Outside In,1132 SW 13th Ave,,,,Outside In,503-535-3800,10,10,,,,,,,,,,,,,,,
97220,Sandy Apts,11401 NE Sandy Blvd,,,,Luke-Dorf Inc.,503-726-3690,14,,,,,,,,,,,,,,,,
97233,The Snowberry,117 SE 151st Ave,,,,PHC Northwest,503-261-1266,27,,,13,14,,,,,,,,,,,,
97214,St Francis Park,1177 SE Stark,,,,Cascade Management Inc.,503-704-2360,106,,77,28,1,,,,,,,,,,,,
97205,Jeffrey Apts,1201 SW 11th Ave,,,,Income Property Management,503-954-2228,80,,50,30,,,,,,,,,,,,,
97266,Holgate Project,12012 SE Holgate Blvd,,,,Cascade Management Inc.,503-253-6351,10,,,10,,,,,,,,,,,,,
97216,Ankeny Woods,12016 SE Ankeny St,,,,Human Solutions,844-233-3197,42,,,,,,,,,,,,,,,,
97266,Gladstone Square,12020 SE Gladstone St,,,,Quantum Residential,503-760-3010,48,,,,36,12,,,,,,,,,,,
97216,Pine Point Apts,12025 SE Pine St,,,,Cascade Management Inc.,971-270-6949,24,,10,12,2,,,,,,,,,,,,
97216,Ash Street Courtyard,12026 SE Ash St,,,,Cascade Management Inc.,503-252-5041,47,,,23,24,,,,,,,,,,,,
97201,Hamilton West Apts,1212 SW Clay St,,,,Cascade Management Inc.,503-525-0500,152,,129,23,,,,,,,,,,,,,
97205,Rosenbaum Plaza,1218 SW Washington St,,,,Quantum Residential,503-228-5355,76,76,,,,,,,,,,,,,,,
97205,1200 Building,1220 SW 12th Ave,,,,Harsch Investment Corp.,503-248-0260,89,,,89,,,,,,,,,,,,,
97214,Ritzdorf Court,1225 SE Belmont St,,,,REACH Community Development Inc.,503-233-8985,85,,82,3,,,,,,,,,,,,,
97209,Shoreline Building,123 W Burnside St,,,,Central City Concern,503-525-8483,62,,62,,,,,,,,,,,,,,
97214,Rex Arms,1230 SE Morrison St,,,,REACH Community Development Inc.,503-238-2915,62,,21,41,,,,,,,,,,,,,
97230,Rockwood Building,124 NE 181st Ave,,,,Human Solutions,844-230-1495,47,,16,16,15,,,,,,,,,,,,
97201,Gretchen Kafoury Commons,1240 SW Columbia St,,,,Cascade Management Inc.,503-226-0600,129,,87,37,5,,,,,,,,,,,,
97230,Halsey Terrace,12428 NE Halsey,,,,Portland Habitation Center,503-261-1266,15,,,,,,,,,,,,,,,,
97236,Powell Court Villa,12540 SE Powell Ct,,,,Affinity Property Management,503-761-6068,68,,,,46,22,,,,,,,,,,,
97236,Floresta,12608 SE Foster Rd,,,,Home Forward,503-280-3750,20,,,,8,12,,,,,,,,,,,
97233,Hazel Heights,12621 SE Stark,,,,Central City Concern,503-525-8483,153,,,,,,,,,,,,,,,,
97239,Hopewell Apts,1264 SW Cheltenhem St,,,,Cascadia Behavioral Healthcare,503-244-6157,12,,,8,4,,,,,,,,,,,,
97209,Macdonald West,127 NW 6th Ave,,,,Income Property Management,503-568-6550,42,,42,,,,,,,,,,,,,,
97236,Peyton Plaza,12713 SE Powell Blvd,,,,ColumbiaCare Services Inc.,541-858-8170,22,,,8,14,,,,,,,,,,,,
97236,Hunter's Run,12725 SE Powell Blvd,,,,Home Forward,503-280-3750,10,,,,,10,,,,,,,,,,,
97211,Cedar Place,130 NE Lombard St,,,,PCRI,503-288-2923,5,,,,5,,,,,,,,,,,,
97232,Miracles Central Apts,1306 NE 2nd Ave,,,,Central City Concern,503-525-8483,47,,21,22,4,,,,,,,,,,,,
97236,Park 132 Apartments,13130 SE Powell Blvd,,,,PHC Northwest,503-760-7359,19,,,,19,,,,,,,,,,,,
97201,St James Apts,1320 SW 10th Ave,,,,GSL Properties,503-226-4778,109,,41,46,22,,,,,,,,,,,,
97236,Scott Crest Plaza Apts,13223 SE Powell Blvd,,,,PHC Northwest,503-760-7359,42,,,4,32,6,,,,,,,,,,,
97214,Taylor Street Apts,1330 SE Taylor St,,,,REACH Community Development Inc.,503-760-0907,10,,,4,6,,,,,,,,,,,,
97236,Powell Plaza,13320 SE Powell Blvd,,,,Heartland Realty,503-761-7650,67,,24,43,,,,,,,,,,,,,
97233,Market Street Home,13541 SE Market St,,,,Cascadia Behavioral Healthcare,503-963-7797,5,5,,,,,,,,,,,,,,,
97236,Carolyn Gardens,13907 SE Division St,,,,Human Solutions,844-233-3197,12,,,,,4,8,,,,,,,,,,
97233,The Pines,140 SE 188th Ave,,,,Human Solutions,503-666-5310,66,,,4,50,12,,,,,,,,,,,
97233,Irish Moss,14050 E Burnside St.,,,,PHC Northwest,503-261-1266,27,,,,,27,,,,,,,,,,,
97236,Cygnet,14135 SE Division St,,,,Human Solutions,503-548-0200,20,,,2,5,8,5,,,,,,,,,,
97214,Hawthorne East,1420 SE 16th Ave,,,,Cascade Management Inc.,503-230-0306,71,,,71,,,,,,,,,,,,,
97233,Fern Grove Apts,14232 E Burnside,,,,PHC Northwest,503-261-1266 x170,33,,,,,33,,,,,,,,,,,
97201,Imperial Arms Apts,1429 SW 14th Ave,,,,Circum Pacific Properties,503-223-8005,58,,28,20,10,,,,,,,,,,,,
97201,Rose Schnitzer Tower,1430 SW 12th Ave,,,,Harsch Investment Properties,503-222-7467,233,,,,,,,,,,,,,,,,
97205,Bronaugh Apts,1434 SW Morrison St,,,,REACH Community Development Inc.,503-227-0754,50,,11,39,,,,,,,,,,,,,
97214,Clark Center Annex,1437 SE Martin Luther King Jr Blvd,,,,Transitions Project,503-280-4700,22,,,,,,,,,,,,,,,,
97211,Otesha Place,1484 NE Alberta St,,,,Sabin Community Development Corp.,503-287-3496,11,,,,11,,,,,,,,,,,,
97236,Burlwood Apts,14992 SE Division St,,,,Income Property Management,503-760-3830,35,,,8,18,9,,,,,,,,,,,
97201,James Hawthorne,1510 SW 13th Ave,,,,Home Forward,503.280.3750,48,48,,,,,,,,,,,,,,,
97217,Ainsworth Court,1515 N Ainsworth St,,,,Income Property Management,503-286-9770,88,,,64,24,,,,,,,,,,,,
97201,12th Avenue Terrace,1515 SW 12th Ave,,,,REACH Community Development Inc.,503-226-9181,119,,118,1,,,,,,,,,,,,,
97230,Village Gardens,15230 NE Sandy Blvd,,,,Bowen Property Management,503-253-2273,59,,6,18,31,4,,,,,,,,,,,
97232,Weidler Commons,1529 NE 21st Ave,,,,Cascade Management Inc.,503-281-9298,51,,3,47,1,,,,,,,,,,,,
97201,Peter Paulson Apts,1530 SW 13th Ave,,,,Cascade Management Inc.,503-294-2091,93,92,,1,,,,,,,,,,,,,
97209,Ramona Apts,1550 NW 14th Ave,,,,Pinnacle Realty Management,503-688-6008,139,,,9,60,70,,,,,,,,,,,
97236,La Tourelle Apts,15514 SE Division St,,,,La Tourelle Village/Concord Village,503-761-8249,75,,,,58,17,,,,,,,,,,,
97233,Caritas Villa,16060 E Burnside St,,,,Cascade Management Inc.,503-257-8947,30,,3,24,3,,,,,,,,,,,,
97209,Abigail Apts,1650 NW 13th Ave,,,,Guardian Real Estate Services,503-224-0789,155,,35,33,51,36,,,,,,,,,,,
97211,Maggie Gibson Plaza,1700 NE Alberta St,,,,PCRI,503-288-2923,9,,,,5,4,,,,,,,,,,,
97202,Sellwood Center,1724 SE Tenino St,,,,Home Forward,503-280-3940,110,,106,4,,,,,,,,,,,,,
97201,Collins Circle,1730 SW Jefferson St,,,,Guardian Real Estate Services,503-525-2324,52,,24,24,4,,,,,,,,,,,,
97233,East County Project,17527 SE Pine St,,,,Cascade Management Inc.,503-256-0845,7,,,3,4,,,,,,,,,,,,
97233,Mayfield Court,17675 SE Pine St,,,,Cascade Management Inc.,503-252-9716,30,,,26,4,,,,,,,,,,,,
97233,Madrona Place,17810 E Burnside St,,,,Home Forward,503-280-3750,45,,,3,19,23,,,,,,,,,,,
97230,Rosewood Plaza,18173 NE Couch St,,,,Human Solutions,844-232-1495,45,,,,,,,,,,,,,,,,
97233,Eastwood Court,18208 SE Yamhill St,,,,Home Forward,503-280-3750,31,,,,19,12,,,,,,,,,,,
97219,Vermont Springs,1825 SW Vermont St,,,,Cascadia Behavioral Healthcare,503-232-6971,14,,,14,,,,,,,,,,,,,
97212,Grace Peck Terrace,1839 NE 14th Ave,,,,Quantum Residential,503-281-7094,95,,,95,,,,,,,,,,,,,
97232,Silvercrest Residence,1865 NE Davis St,,,,Quantum Residential,503-236-2320,76,,,75,1,,,,,,,,,,,,
97230,Halsey Street Project,18940 NE Halsey St,,,,Eastco Diversified Services Inc.,503-666-1016,6,,5,1,,,,,,,,,,,,,
97233,Rockwood Landing,19045 SE Yamhill,,,,Home Forward,503-661-3327,37,,,,12,17,8,,,,,,,,,,
97214,Chateau Apts,1910 SE Stark St,,,,Home Forward,503-280-3750,10,,,,10,,,,,,,,,,,,
97233,Fir Acres,19401 SE Yamhill St,,,,Home Forward,503-280-3750,31,,,,18,13,,,,,,,,,,,
97205,The Morrison,1959 SW Morrison St,,,,Income Property Management,503-241-6489,140,,45,74,21,,,,,,,,,,,,
97209,Medallion Apts,1969 NW Johnson St,,,,Home Forward,503-280-3750,90,,,88,2,,,,,,,,,,,,
97233,El Moro Apts,2016 SE 122nd Ave,,,,Kathy McIrvin,503-252-3095,17,,,16,1,,,,,,,,,,,,
97209,Marshall Union Manor,2020 NW Northrup St,,,,Manor Management,503-225-0677,243,,154,88,1,,,,,,,,,,,,
97202,Marion Street Apts,2020 SE Marion St,,,,REACH Community Development Inc.,971-277-1296,24,,,16,8,,,,,,,,,,,,
97212,The Bookmark,2034 NE 40th Ave,,,,Guardian Real Estate Services,503-335-8400,48,,1,36,11,,,,,,,,,,,,
97205,Ankeny Square,204 SW 8th Ave,,,,Central City Concern,503-525-8483,106,106,,,,,,,,,,,,,,,
97209,Williams Plaza,2041 NW Everett St,,,,Home Forward,503-280-3750,101,,67,34,,,,,,,,,,,,,
97209,Modern Rich Apts,205 NW Couch St,,,,Income Property Management,503-705-2682,34,,33,1,,,,,,,,,,,,,
97202,Powell Blvd. Apts,2105 SE Powell Blvd,,,,REACH Community Development Inc.,503-231-3055,19,,3,14,2,,,,,,,,,,,,
97210,Gallagher Plaza,2140 NW Kearney St,,,,Home Forward,503-280-3820,85,,,85,,,,,,,,,,,,,
97209,Musolf Manor,216 NW 3rd Ave,,,,Income Property Management,503-223-1547,95,,95,,,,,,,,,,,,,,
97210,Camar Apts,2164 NW Lovejoy St,,,,Northwest Housing Alternatives,503-654-1007,12,,,12,,,,,,,,,,,,,
97230,Mi Casa,217 NE 192nd Ave,,,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,,,,,,,,,,,
97216,Pioneer Abodes,220 SE 106th Ave,,,,PHC Northwest,503-261-1266,10,,,6,4,,,,,,,,,,,,
97212,Allen Fremont Plaza,221 NE Fremont St,,,,REACH Community Development Inc.,503-282-8668,64,,,64,,,,,,,,,,,,,
97212,Fremont Manor,221 NE Fremont St,,,,Norris & Stevens Inc.,503-287-3704,28,,,18,9,1,,,,,,,,,,,
97204,WestShore Apts,222 SW Pine St,,,,REACH Community Development Inc.,503-827-7918,113,,105,8,,,,,,,,,,,,,
97209,Estate Building,225 NW Couch St,,,,Central City Concern,503-525-8483,191,,191,,,,,,,,,,,,,,
97210,Victorian Apts,2255 W Burnside St,,,,Guardian Real Estate Services,503-294-0960,62,,40,22,,,,,,,,,,,,,
97214,Harmony House,2270 SE 39th Ave,,,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,,,,,,,,,,,
97060,Cherry Ridge Apts,2295 SW Sturges Ln,,,,GSL Properties,503-618-0186,160,,,80,80,,,,,,,,,,,,
97232,Holladay Court,2310 NE Weidler St,,,,KBC Management,503-810-9473,28,,12,16,,,,,,,,,,,,,
97227,Barbara Maher,2322 N Williams Ave,,,,Guardian Real Estate Services,503-823-4935,33,,33,,,,,,,,,,,,,,
97233,Lincoln Woods,2333 SE 130th Ave,,,,Human Solutions,844-218-8956,70,,,18,8,29,15,,,,,,,,,,
97217,McCuller Crossing,236 N Killingsworth St,,,,REACH Community Development Inc.,503-286-0265,36,,,6,26,4,,,,,,,,,,,
97210,Glisan Street Project,2375 NW Glisan,,,,Cascadia Behavioral Healthcare,503-963-7797,5,5,,,,,,,,,,,,,,,
97233,Burnside Station Apts,240 SE 160th Ave,,,,Quad Inc.,503-287-4260,21,,,15,5,1,,,,,,,,,,,
97233,Green Tree Court,2405 SE 142nd Ave,,,,Human Solutions,844-218-8956,11,,,,11,,,,,,,,,,,,
97202,Tenino Terrace,2405 SE Umatilla St,,,,Heartland Realty,503-234-6785,94,,,23,71,,,,,,,,,,,,
97233,Lincoln Park,2409 SE 139th Ave,,,,ColumbiaCare Services Inc.,541-858-8170,4,,,,,,,,,,,,,,,,
97212,Eliot Square,2417 NE Rodney Ave,,,,Home Forward,503-280-3750,30,,,,11,15,4,,,,,,,,,,
97201,Village at Lovejoy Fountain,245 SW Lincoln St,,,,VLF Properties,503-223-5314,198,,45,109,44,,,,,,,,,,,,
97233,Sequoia Square Apts,247 SE 160th Ave,,,,Cascade Management Inc.,503-408-8886,62,,10,,38,10,4,,,,,,,,,,
97230,Blackburn Center,25 NE 122nd Ave,,,,Central City Concern,503-525-8483,124,,,,,,,,,,,,,,,,
97227,Unthank Plaza Apts,2500 N Williams Ave,,,,Quantum Residential,503-287-1258,80,,,80,,,,,,,,,,,,,
97214,Dresden Apts,2545 E Burnside,,,,REACH Community Development Inc.,503-235-3778,30,,11,16,3,,,,,,,,,,,,
97227,Myers Court,2600 N Williams Ave,,,,Quad Inc.,503-287-4260,19,,19,,,,,,,,,,,,,,
97217,Camelia Court,2601 N Lombard St,,,,Home Forward,503-280-3750,14,,,14,,,,,,,,,,,,,
97236,Arbor Glen Apts,2609 SE 145th Ave,,,,Human Solutions,503-298-6025,96,,,4,52,40,,,,,,,,,,,
97236,Ivon Court,2629 SE 125th Ave,,,,Human Solutions,844-277-5320,8,,,,,,,,,,,,,,,,
97202,Howard House,2644 SE Powell Blvd,,,,Cascade Management Inc.,503-236-6468,12,,,12,,,,,,,,,,,,,
97236,Douglas Meadows,2645 SE 127th Ave,,,,Human Solutions,844-277-5320,8,,,,,6,2,,,,,,,,,,
97210,Upshur House,2650 NW Upshur St,,,,Cascade Management Inc.,503-226-3485,30,,,8,12,10,,,,,,,,,,,
97236,Demar Downs,2700 SE 148th Ave,,,,Home Forward,503-280-3810,18,,,,18,,,,,,,,,,,,
97217,Bukas Place,2705 N Killingsworth St,,,,UBA Building Services,503-289-6072,7,,,,6,1,,,,,,,,,,,
97266,Clinton Ridge Apts,2730 SE 92nd Ave,,,,Cascadia Behavioral Healthcare,503-963-7767,29,,,29,,,,,,,,,,,,,
97227,Caritas Plaza,2830 N Williams Ave,,,,Cascade Management Inc.,503-288-3186,30,,9,18,3,,,,,,,,,,,,
97236,Midland Commons,2830 SE 127th Ave,,,,Cascadia Behavioral Healthcare,503-963-7767,46,,9,32,5,,,,,,,,,,,,
97206,Peaceful Villa,2835 SE 47th Ave,,,,Home Forward,503-280-3750,69,,8,53,8,,,,,,,,,,,,
97217,Killingsworth Home,29th & Killingsworth,,,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,,,,,,,,,,,
97236,Townhouse Terrace,3001 SE 136th Ave,,,,Home Forward,503-280-3750,32,,,,20,12,,,,,,,,,,,
97212,Garlington Center,3024 NE Martin Luther King Jr Blvd,,,,Cascadia Behavioral Healthcare,,51,,6,40,5,,,,,,,,,,,,
97227,Kramer Apts,303 N Beach St,,,,Cascadia Behavioral Healthcare,503-232-6971,4,,,4,,,,,,,,,,,,,
97212,3033 NE Rodney,3033 NE Rodney Ave,,,,Mentor Oregon,503-258-2440,5,,,,5,,,,,,,,,,,,
97233,Station 162,304 SE 162nd Ave,,,,Quad Inc.,503-287-4260,43,,,41,2,,,,,,,,,,,,
97204,The Henry,309 SW Fourth Ave,,,,Central City Concern,503-525-8483,153,,,,,,,,,,,,,,,,
97209,Biltmore Hotel,310 NW 6th Ave,,,,Central City Concern,503-525-8483,75,75,,,,,,,,,,,,,,,
97209,Royal Palm,310 NW Flanders St,,,,Cascadia Behavioral Healthcare,503-827-3949,30,30,,,,,,,,,,,,,,,
97202,Beacon Manor,3123 SE 8th Ave,,,,REACH Community Development Inc.,503-235-9029,19,,11,8,,,,,,,,,,,,,
97219,Village at the Headwaters,3131 SW Marigold St,,,,Cascade Management Inc.,503-244-1544,56,,,35,21,,,,,,,,,,,,
97209,Fifth Avenue Place Apts,314 NW 5th Ave,,,,Pinnacle Realty Management,503-243-3311,70,,50,15,5,,,,,,,,,,,,
97236,Garden Park Estates,3140 SE 136th Ave,,,,Pacificap Management,503-762-2151,63,,,,62,1,,,,,,,,,,,
97217,Park Terrace,315 N Alberta St,,,,Cascade Management Inc.,503-282-6111,88,,,88,,,,,,,,,,,,,
97202,Kenilworth Park Plaza,3214 SE Holgate Blvd,,,,Oddfellows Holgate Center,503-872-1110,77,,20,57,,,,,,,,,,,,,
97209,Converse Court Apts,325 NW 18th Ave,,,,Circum Pacific Properties,503-241-2748,18,,,18,,,,,,,,,,,,,
97212,The Magnolia,3250 NE Martin Luther King Jr Blvd,,,,Income Property Management,503-282-1005,50,,,41,9,,,,,,,,,,,,
97236,Briarwood East,3302 SE 122nd Ave,,,,Human Solutions,503-298-6025,22,,,,7,15,,,,,,,,,,,
97209,Pacific Tower Apts,333 NW 4th Ave,,,,Pinnacle Realty Management,503-224-9393,156,,34,111,11,,,,,,,,,,,,
97204,333 Oak Apts,333 SW Oak St,,,,Cascade Management Inc.,503-227-2358,90,,72,18,,,,,,,,,,,,,
97214,The Belmont Dairy,3340 SE Morrison St,,,,Guardian Real Estate Services,503-235-4312,81,,,,,,,,,,,,,,,,
97209,Northwest Tower,335 NW 19th Ave,,,,Home Forward,503-280-3880,174,,63,81,27,3,,,,,,,,,,,
97212,Beatrice Morrow,3368 NE MLK Blvd,,,,PCRI,503-288-2923,80,,,,,,,,,,,,,,,,
97206,Haven House,3423 SE 69th Ave,,,,Cascade Management Inc.,503-236-6468,3,,,,,3,,,,,,,,,,,
97266,Kirkland Union Manor I,3530 SE 84th Ave,,,,Manor Management,503-777-8101,282,,99,182,1,,,,,,,,,,,,
97266,St Anthony's Village,3560 SE 79th Ave,,,,St Anthony Management,503-775-4414,126,,96,23,7,,,,,,,,,,,,
